doctor_id,doctor_name_zh,hospital_zh,department_zh,subdepartment_zh,specialty_raw_zh,source_url
CGMH_LINKOU_NEURO_022,張宏旭,林口長庚紀念醫院,神經內科,神經內科,交感副交感神經疾病，周邊神經肌肉疾病，癲癇，頭痛，頭暈,
CGMH_LINKOU_NEURO_023,陳瓊美,林口長庚紀念醫院,神經內科,神經內科,巴金森氏症、小腦萎縮、亨丁頓舞蹈症、動作障礙疾病、遺傳性神經性疾病,
CGMH_LINKOU_NEURO_024,羅榮昇,林口長庚紀念醫院,神經內科,神經內科,神經遺傳性疾病、多發性硬化症、病態性神經疼痛、頭痛、肌肉病變、重症肌無力症、一般神經疾病,
CGMH_LINKOU_NEURO_025,黃錦章,林口長庚紀念醫院,神經內科,神經內科,神經毒物學、失智症、粒腺體疾病、重症肌無力症,
CGMH_LINKOU_NEURO_026,鄭美雲,林口長庚紀念醫院,神經內科,神經內科,癲癇症、睡眠障礙與夜間不自主運動、癲癇手術術前評估、腦皮質功能定位、自體免疫性腦炎、多發性硬化症、視神經脊髓炎、脊髓中風、神經性疼痛。,
CGMH_LINKOU_NEURO_027,林秀娜,林口長庚紀念醫院,神經內科,神經內科,麻將癲癇、肌抽躍癲癇、頑固型癲癇藥物及高科技治療、神經性疼痛、脊髓病變、眩暈症、頭痛、睡眠障礙。,
CGMH_LINKOU_NEURO_028,章寶倫,林口長庚紀念醫院,神經內科,神經內科,癲癇症、頑固型癲癇藥物治療、反射性癲癇（麻將癲癇）、癲癇外科手術評估與腦部立體定位、神經性疼痛、頭痛、睡眠障礙、腦部電生理與基因治療研究。,
CGMH_LINKOU_NEURO_029,李志鴻,林口長庚紀念醫院,神經內科,神經內科,癲癇症、癲癇外科手術立體定位、神經性疼痛、睡眠障礙。,
CGMH_LINKOU_NEURO_030,張俊偉,林口長庚紀念醫院,神經內科,神經內科,癲癇症及頑固型癲癇治療、急/慢性頭痛、神經性疼痛、睡眠障礙、癲癇外科手術立體定位。,
CGMH_LINKOU_NEURO_031,曾偉恩,林口長庚紀念醫院,神經內科,神經內科,癲癇症、頑固型癲癇藥物、音樂癲癇、癲癇外科手術定位、頭痛、一般神經科疾病,
CGMH_LINKOU_NEURO_032,江星逸,林口長庚紀念醫院,神經內科,神經內科,癲癇症、一般神經科疾病、頭痛、頑固型癲癇藥物及高科技治療、睡眠障礙 。,
CGMH_LINKOU_NEURO_033,廖庭偉,林口長庚紀念醫院,神經內科,神經內科,癲癇症及頑固型癲癇治療、睡眠障礙及夜間不自主運動、腦血管疾病、頭痛、一般神經科疾病。,
